datetime,username,tweet;;;;;;;;
"2022-04-18 23:48:54+00:00,KabarBanten72,""UU TPKS Disahkan, Berikut 6 Poin Penting dari Permendikbudristek https://t.co/rtxsuhD4ox""";;;;;;;;
"2022-04-18 22:32:56+00:00,Akunkuopiniku,""@rizkiwulandani @byeoreum @tegarfr__ @dikignwn @Wirogendheng88 @tubirfess UU TPKS dan kenaikan usia menikah aja udah ngebuktiin ini salah, child marriage itu dihalalkan di islam. Sedangkan batas usia pernikahan itu 19 disini""";;;;;;;;
"2022-04-18 21:41:24+00:00,Mat16_16,""Kerja lamban.";;;;;;;;
;;;;;;;;
Bikin UU utk melindungi perempuan dr kejahatan sexual kok butuh waktu 10 thn.;;;;;;;;
Itupun stlh didemo berkali2.;;;;;;;;
;;;;;;;;
BEM SI;;;;;;;;
BEM UI;;;;;;;;
#perempuanbisa;;;;;;;;
DPR RI;;;;;;;;
Joko Widodo;;;;;;;;
PDIP;;;;;;;;
Polri;;;;;;;;
UU TPKS;;;;;;;;
detikNews;;;;;;;;
Komnas Perempuan;;;;;;;;
Partai Demokrat;;;;;;;;
Susi Pudjiastuti;;;;;;;;
Yenny Wahid;;;;;;;;
"Mata Najwa https://t.co/WKBPEwDRce""";;;;;;;;
"2022-04-18 05:31:10+00:00,PatricioRojo34,""Alhamdulillah Ibu Puan sangat mengerti akan keresahan yang dialami perempuan terkait kekerasan seksual dan berjuang mendorong agar segerea RUU TPKS disahkan";;;;;;;;
#PerempuanBisa;;;;;;;;
Puan Pahlawan UUTPKS;;;;;;;;
"https://t.co/hvdWVmNfN9""";;;;;;;;
"2022-04-18 05:29:00+00:00,ryimm4,""Sikap Ibu Puan Maharani yang terus memperjuangakan RUU TPKS tersebut dipandang bentuk konsistensinya dalam memperjuangkan perlindungan perempuan";;;;;;;;
#PerempuanBisa;;;;;;;;
Puan Pahlawan UUTPKS;;;;;;;;
"https://t.co/0zD1PXVCRp""";;;;;;;;
"2022-04-18 05:27:49+00:00,kittmysie1,""Sejak awal saya mendukung UU TPKS karena dapat memberikan perlindungan terhadap korban sekaligus mencegah kasus-kasus kekerasan seksual";;;;;;;;
#PerempuanBisa;;;;;;;;
Puan Pahlawan UUTPKS;;;;;;;;
"https://t.co/zkW95ryef2""";;;;;;;;
"2022-04-18 05:27:26+00:00,auroraxxu5,""Pada tahun 2014, Komnas Perempuan bersama LBH Apik Jakarta, serta Forum Pengada Layanan (FPL) menyusun draf RUU PKS lalu memberikannya kepada DPR dan Pemerintah pada tahun 2016";;;;;;;;
#PerempuanBisa;;;;;;;;
Puan Pahlawan UUTPKS;;;;;;;;
"https://t.co/Ey7liHzG1P""";;;;;;;;
